col_id,col_name,col_pretty_name,category_pretty_names,data_type,unit,allowed_values,description
92,ques-local-therm-sensation,Local Thermal Sensation (LTSV),Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
93,ques-local-therm-satisfaction,Local Thermal Satisfaction,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
94,ques-shivering,Shivering Rate,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
95,ques-sweating-sensation,Sweating Sensation,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
96,ques-overall-comfort,Overall Comfort,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
97,ques-overall-satisfaction,Overall Satisfaction,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
98,ques-airmove-comfort,Air Movement Comfort,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
99,ques-airmove-sensation,Air Movement Sensation,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
100,ques-local-airmove-sensation,Local Air Movement Sensation,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
101,ques-airmove-perception,Air Movement Perception,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
102,ques-airmove-prefer,Air Movement Preference,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
103,ques-airmove-accept,Air Movement Acceptability,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
104,ques-airmove-satisfaction,Air Movement Satisfaction,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
105,ques-humidity-comfort,Humidity Comfort,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
106,ques-humidity-sensation,Humidity Sensation,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
107,ques-humidity-prefer,Humidity Preference,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
108,ques-humidity-accept,Humidity Acceptability,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
109,ques-humidity-satisfaction,Humidity Satisfaction,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
110,ques-light-comfort,Lighting Comfort,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
111,ques-light-sensation,Lighting Sensation,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
112,ques-visual-prefer,Visual Preference,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
113,ques-light-prefer,Lighting Preference,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
114,ques-light-accept,Lighting Acceptability,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
115,ques-light-satisfaction,Lighting Satisfaction,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
116,ques-iaq-comfort,IAQ Comfort,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
117,ques-iaq-sensation,IAQ Sensation,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
118,ques-iaq-prefer,IAQ Preference,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
119,ques-iaq-accept,IAQ Acceptability,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
120,ques-iaq-satisfaction,IAQ Satisfaction,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
121,ques-odour-intensity,Odour Intensity,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
122,ques-sick-building-syndrome,Sick Building Syndrome (SBS),Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
123,ques-acoustic-comfort,Acoustic Comfort,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
124,ques-acoustic-sensation,Acoustic Sensation,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
125,ques-acoustic-prefer,Acoustic Preference,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
126,ques-acoustic-accept,Acoustic Acceptability,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
127,ques-acoustic-satisfaction,Acoustic Satisfaction,Questionnaires,string,-,"NR, MNR, NC, any value",Same as Thermal Comfort
128,cognitive-test-done,Cognitive tests conducted?,Cognitive,boolean,-,"Y, N, NR, NC",Did they do some form of cognitive test?
129,cognitive-domain-performance,"Type of the tests, comma separated",Cognitive,text,-,"NR, NAN, NC, any value","Names of objective/performance-based cognitive tests administered (e.g., working memory, attention, reasoning tasks), comma separated. NAN = no performance-based cognitive testing done."
130,cognitive-domain-subjective,Types of cognitive tests,Cognitive,boolean,-,"NR, NAN, NC, any value","Names of subjective/self-report cognitive-state instruments administered, with the assessed domain noted in parentheses (e.g., workload, mood, stress), comma separated. NAN = no subjective cognitive instrument used."
131,select-healthy,Participants were healthy,Selection criteria,boolean,-,"Y, NR, NC",Participants were healthy
132,select-active-recent-illness,"Perticipants had no active illnesses or symptoms, ie. COVID, fever, cold, flu, etc during the experiment or shortly before.",Selection criteria,boolean,-,"Y, NR, NC","Perticipants had no active illnesses or symptoms, ie. COVID, fever, cold, flu, etc during the experiment or shortly before."
133,select-no-ongoing-treatment-medication-use,Participants were not undergoing treatment or using medication,Selection criteria,boolean,-,"Y, NR, NC",Participants were not undergoing treatment or using medication
134,select-age-range,Participants were selected or excluded based on specific age ranges,Selection criteria,boolean,-,"Y, NR, NC",Participants were selected or excluded based on specific age ranges
135,select-healthy-cv-bp-disease,"Participants had or did not have any cardiovascular or hyper- or hypotension disorders,",Selection criteria,boolean,-,"Y, NR, NC","Participants had or did not have any cardiovascular or hyper- or hypotension disorders,"
136,select-neuro-disease,Participants had or did not have any neurological diseases,Selection criteria,boolean,-,"Y, NR, NC",Participants had or did not have any neurological diseases
137,select-metabolic-syndrome,Participants had or did not have metabolic system related diseases,Selection criteria,boolean,-,"Y, NR, NC",Participants had or did not have diabetes or hyper- or hypoglycemia
138,select-immune-related-diseases,Participants had or did not have any immune system related diseases,Selection criteria,boolean,-,"Y, NR, NC","Participants had or did not have any skin diseases, allergies, or autoimmunes diseases that would alter thermoregulation or thermal perception"
139,select-previous-knowledge,Participants had or did not have previous knowledge on the test topic,Selection criteria,boolean,-,"Y, NR, NC",Whether participants' prior knowledge of the study's purpose/hypothesis was used as an inclusion or exclusion criterion.
140,select-thermal-history,Participants lived or did not live in the experiment location long enough to be acclimatised,Selection criteria,boolean,-,"Y, NR, NC",Participants lived or did not live in the experiment location long enough to be acclimatised
141,select-smoking,Regular smoking was an inclusion/exclusion factor.,Selection criteria,boolean,-,"Y, NR, NC",Regular smoking was an inclusion/exclusion factor.
142,select-bmi-range,A particular BMI range was an inclusion/exclusion factor,Selection criteria,boolean,-,"Y, NR, NC",A particular BMI range was an inclusion/exclusion factor
143,select-colour-weakness-eyesight,"Participants were checked for colour weaknesses or good eyesight, or for previous vision correction",Selection criteria,boolean,-,"Y, NR, NC","Participants were checked for colour weaknesses or good eyesight, or for previous vision correction"
144,select-hearing,Participants were checked for hearing weaknesses,Selection criteria,boolean,-,"Y, NR, NC",Participants were checked for hearing weaknesses
145,select-lang-skills,Participants had good language skills in the language of the questionnaires/tests,Selection criteria,boolean,-,"Y, NR, NC",Participants had good language skills in the language of the questionnaires/tests
146,select-alcohol,Excessive alcohol intake was an inclusion/exclusion factor,Selection criteria,boolean,-,"Y, NR, NC",Excessive alcohol intake was an inclusion/exclusion factor
147,select-dominant-hand,Participants had a preferred dominant hand; ie. only right-handed were selected,Selection criteria,boolean,-,"Y, NR, NC",Participants had a preferred dominant hand; ie. only right-handed were selected
148,select-contraceptive-type,Menstruating participants were included/excluded based on their contraception methods,Selection criteria,boolean,-,"Y, NR, NC",Menstruating participants were included/excluded based on their contraception methods
149,select-activity-level,Participants were included/excluded based on their regular activity or fitness levels,Selection criteria,boolean,-,"Y, NR, NC",Participants were included/excluded based on their regular activity or fitness levels
